# Grouping of all relevant ligands found in the BioLiP database as of June 28, 2017
# The 4 nucleic acids entries ("NUCACID_") include: NUCDNA, NUCDNAB, NUCRNA, NUCRNAB
# The 2 DNA entries ("DNA_") include: NUCDNA, NUCDNAB
# The 2 RNA entries ("RNA_") include: NUCRNA, NUCRNAB
# All 204 ion entries ("ION_") were extracted from wwPDB's Chemical Component Dictionary (http://www.wwpdb.org/data/ccd),
#  accessed August 9, 2016
# All 8307 drug entries ("DRUGLIKE_") were identified by comparing ligand SMILES strings (Tanimoto coefficient > 0.9) 
#  to drug SMILES strings obtained from DrugBank (http://www.drugbank.ca/), accessed August 9, 2016
# All 1301 metabolite entries ("METABOLITE_") were identified by comparing ligand SMILES strings (Tanimoto coefficient > 0.9) 
#  to *endogenous metabolite* SMILES strings obtained from the Human Metabolome Database
#  (http://www.hmdb.ca/system/downloads/current/hmdb_metabolites.zip), accessed October 19, 2016
#group_name	original_ligand_mmCIF_identifier
METABOLITE_	C31
METABOLITE_	C33
METABOLITE_	C3B
METABOLITE_	C3P
METABOLITE_	C3X
METABOLITE_	C43
METABOLITE_	C5P
METABOLITE_	C6B
METABOLITE_	C6N
METABOLITE_	CA7
METABOLITE_	CAH
METABOLITE_	CAK
METABOLITE_	CAP
METABOLITE_	CAR
METABOLITE_	CB2
METABOLITE_	CBI
METABOLITE_	CBK
METABOLITE_	CBM
METABOLITE_	CBU
METABOLITE_	CBV
METABOLITE_	CBW
METABOLITE_	CC5
METABOLITE_	CC7
METABOLITE_	CCM
METABOLITE_	CDC
METABOLITE_	CDF
METABOLITE_	CDM
METABOLITE_	CDP
METABOLITE_	CH
METABOLITE_	CH1
METABOLITE_	CH5
METABOLITE_	CHA
METABOLITE_	CHC
METABOLITE_	CHD
METABOLITE_	CHO
METABOLITE_	CIS
METABOLITE_	CIT
METABOLITE_	CJB
METABOLITE_	CL
METABOLITE_	CLL
METABOLITE_	CLO
METABOLITE_	CLR
METABOLITE_	CLT
METABOLITE_	CM
METABOLITE_	CM5
METABOLITE_	CMP
METABOLITE_	CNA
METABOLITE_	CO3
METABOLITE_	COI
METABOLITE_	CPG
METABOLITE_	CPI
METABOLITE_	CPL
METABOLITE_	CRC
METABOLITE_	CRN
METABOLITE_	CRY
METABOLITE_	CS2
METABOLITE_	CSM
METABOLITE_	CT3
METABOLITE_	CTN
METABOLITE_	CTP
METABOLITE_	CTR
METABOLITE_	CTT
METABOLITE_	CVM
METABOLITE_	CXP
METABOLITE_	CYS
METABOLITE_	CYT
METABOLITE_	D11
METABOLITE_	D1P
METABOLITE_	D2V
METABOLITE_	D3Z
METABOLITE_	D5M
METABOLITE_	D8T
METABOLITE_	DA
METABOLITE_	DA8
METABOLITE_	DAH
METABOLITE_	DAL
METABOLITE_	DAO
METABOLITE_	DAS
METABOLITE_	DAU
METABOLITE_	DBB
METABOLITE_	DBH
METABOLITE_	DC
METABOLITE_	DCK
METABOLITE_	DCM
METABOLITE_	DCP
METABOLITE_	DCR
METABOLITE_	DCY
METABOLITE_	DCZ
METABOLITE_	DDA
METABOLITE_	DDB
METABOLITE_	DDL
METABOLITE_	DDO
METABOLITE_	DDR
METABOLITE_	DDU
METABOLITE_	DDZ
METABOLITE_	DEC
METABOLITE_	DEG
METABOLITE_	DEL
METABOLITE_	DFC
METABOLITE_	DG6
METABOLITE_	DGA
METABOLITE_	DGL
METABOLITE_	DGU
METABOLITE_	DGY
METABOLITE_	DHD
METABOLITE_	DHN
METABOLITE_	DHO
METABOLITE_	DHT
METABOLITE_	DI
METABOLITE_	DIL
METABOLITE_	DIQ
METABOLITE_	DIV
METABOLITE_	DKA
METABOLITE_	DL4
METABOLITE_	DLA
METABOLITE_	DLE
METABOLITE_	DLF
METABOLITE_	DLP
METABOLITE_	DLS
METABOLITE_	DLY
METABOLITE_	DMG
METABOLITE_	DMK
METABOLITE_	DMN
METABOLITE_	DMR
METABOLITE_	DMU
METABOLITE_	DMV
METABOLITE_	DN4
METABOLITE_	DNA
METABOLITE_	DND
METABOLITE_	DNE
METABOLITE_	DNO
METABOLITE_	DNR
METABOLITE_	DO4
METABOLITE_	DOM
METABOLITE_	DOR
METABOLITE_	DPO
METABOLITE_	DPR
METABOLITE_	DQA
METABOLITE_	DQR
METABOLITE_	DR5
METABOLITE_	DRI
METABOLITE_	DSB
METABOLITE_	DSG
METABOLITE_	DSN
METABOLITE_	DSP
METABOLITE_	DT6
METABOLITE_	DTG
METABOLITE_	DTP
METABOLITE_	DTY
METABOLITE_	DU
METABOLITE_	DUC
METABOLITE_	DUD
METABOLITE_	DUR
METABOLITE_	DUT
METABOLITE_	DVA
METABOLITE_	DX5
METABOLITE_	DXC
METABOLITE_	DXG
METABOLITE_	DXI
METABOLITE_	DXL
METABOLITE_	DXX
METABOLITE_	E3O
METABOLITE_	E5G
METABOLITE_	EAX
METABOLITE_	ECS
METABOLITE_	EDU
METABOLITE_	EEB
METABOLITE_	EED
METABOLITE_	EGA
METABOLITE_	EHP
METABOLITE_	EIC
METABOLITE_	EIS
METABOLITE_	ELA
METABOLITE_	EPA
METABOLITE_	EPG
METABOLITE_	EPU
METABOLITE_	EPZ
METABOLITE_	ERG
METABOLITE_	ESL
METABOLITE_	ESM
METABOLITE_	EST
METABOLITE_	ETA
METABOLITE_	F15
METABOLITE_	F1X
METABOLITE_	F23
METABOLITE_	F2P
METABOLITE_	F6P
METABOLITE_	F6R
METABOLITE_	FA2
METABOLITE_	FAR
METABOLITE_	FAT
METABOLITE_	FBP
METABOLITE_	FCA
METABOLITE_	FCB
METABOLITE_	FCY
METABOLITE_	FFA
METABOLITE_	FGA
METABOLITE_	FGL
METABOLITE_	FGM
METABOLITE_	FGP
METABOLITE_	FLC
METABOLITE_	FMR
METABOLITE_	FOA
METABOLITE_	FOC
METABOLITE_	FPC
METABOLITE_	FRU
METABOLITE_	FTT
METABOLITE_	FU1
METABOLITE_	FUB
METABOLITE_	FUC
METABOLITE_	FUD
METABOLITE_	FUL
METABOLITE_	FUM
METABOLITE_	G
METABOLITE_	G25
METABOLITE_	G3N
METABOLITE_	G3P
METABOLITE_	G4D
METABOLITE_	G6D
METABOLITE_	G6Q
METABOLITE_	G9A
METABOLITE_	GAE
METABOLITE_	GAL
METABOLITE_	GAM
METABOLITE_	GAO
METABOLITE_	GAU
METABOLITE_	GBL
METABOLITE_	GC4
METABOLITE_	GCH
METABOLITE_	GCO
METABOLITE_	GCU
METABOLITE_	GCV
METABOLITE_	GCW
METABOLITE_	GCX
METABOLITE_	GCY
METABOLITE_	GDU
METABOLITE_	GER
METABOLITE_	GGL
METABOLITE_	GIV
METABOLITE_	GKR
METABOLITE_	GL0
METABOLITE_	GLA
METABOLITE_	GLB
METABOLITE_	GLC
METABOLITE_	GLD
METABOLITE_	GLO
METABOLITE_	GLQ
METABOLITE_	GLR
METABOLITE_	GLU
METABOLITE_	GLV
METABOLITE_	GLW
METABOLITE_	GLY
METABOLITE_	GMH
METABOLITE_	GMP
METABOLITE_	GNG
METABOLITE_	GOA
METABOLITE_	GOL
METABOLITE_	GOM
METABOLITE_	GP7
METABOLITE_	GP9
METABOLITE_	GRO
METABOLITE_	GSH
METABOLITE_	GSW
METABOLITE_	GTQ
METABOLITE_	GTR
METABOLITE_	GTT
METABOLITE_	GU1
METABOLITE_	GU2
METABOLITE_	GUA
METABOLITE_	GUD
METABOLITE_	GUN
METABOLITE_	GUP
METABOLITE_	GVM
METABOLITE_	GXL
METABOLITE_	GXX
METABOLITE_	GYM
METABOLITE_	GZL
METABOLITE_	H4B
METABOLITE_	H6Y
METABOLITE_	HB0
METABOLITE_	HBI
METABOLITE_	HBL
METABOLITE_	HC2
METABOLITE_	HC3
METABOLITE_	HC5
METABOLITE_	HC9
METABOLITE_	HCA
METABOLITE_	HCD
METABOLITE_	HCM
METABOLITE_	HCY
METABOLITE_	HEU
METABOLITE_	HF2
METABOLITE_	HFA
METABOLITE_	HGP
METABOLITE_	HGX
METABOLITE_	HHD
METABOLITE_	HIC
METABOLITE_	HIU
METABOLITE_	HKV
METABOLITE_	HL2
METABOLITE_	HLU
METABOLITE_	HLX
METABOLITE_	HMU
METABOLITE_	HOC
METABOLITE_	HP7
METABOLITE_	HPD
METABOLITE_	HPN
METABOLITE_	HRP
METABOLITE_	HS2
METABOLITE_	HSE
METABOLITE_	HSG
METABOLITE_	HSH
METABOLITE_	HSJ
METABOLITE_	HSQ
METABOLITE_	HSR
METABOLITE_	HSU
METABOLITE_	HSX
METABOLITE_	HSY
METABOLITE_	HSZ
METABOLITE_	HV5
METABOLITE_	HXD
METABOLITE_	HXG
METABOLITE_	I
METABOLITE_	I0P
METABOLITE_	I1N
METABOLITE_	I22
METABOLITE_	I2M
METABOLITE_	I2P
METABOLITE_	I3P
METABOLITE_	I3S
METABOLITE_	I4D
METABOLITE_	I4P
METABOLITE_	I5P
METABOLITE_	I6P
METABOLITE_	IAS
METABOLITE_	ICI
METABOLITE_	ICJ
METABOLITE_	ICT
METABOLITE_	IDP
METABOLITE_	IDR
METABOLITE_	IG
METABOLITE_	IGC
METABOLITE_	IHP
METABOLITE_	IIL
METABOLITE_	ILE
METABOLITE_	ILG
METABOLITE_	IMP
METABOLITE_	INS
METABOLITE_	IP2
METABOLITE_	IP5
METABOLITE_	IPD
METABOLITE_	IQ0
METABOLITE_	ISE
METABOLITE_	ITP
METABOLITE_	ITS
METABOLITE_	ITT
METABOLITE_	IU
METABOLITE_	IU5
METABOLITE_	IU6
METABOLITE_	IVA
METABOLITE_	IYR
METABOLITE_	J2Z
METABOLITE_	J3Z
METABOLITE_	JAZ
METABOLITE_	JB1
METABOLITE_	JC1
METABOLITE_	JEG
METABOLITE_	JN3
METABOLITE_	JO3
METABOLITE_	JW5
METABOLITE_	JZR
METABOLITE_	K2B
METABOLITE_	KBG
METABOLITE_	KD0
METABOLITE_	KDG
METABOLITE_	KDM
METABOLITE_	KDN
METABOLITE_	KDO
METABOLITE_	KDP
METABOLITE_	KEN
METABOLITE_	KGM
METABOLITE_	KGR
METABOLITE_	KGT
METABOLITE_	KIV
METABOLITE_	KKJ
METABOLITE_	KNA
METABOLITE_	KO1
METABOLITE_	KTA
METABOLITE_	KTC
METABOLITE_	L14
METABOLITE_	L2C
METABOLITE_	L44
METABOLITE_	L9Q
METABOLITE_	L9R
METABOLITE_	LA4
METABOLITE_	LA8
METABOLITE_	LAC
METABOLITE_	LAI
METABOLITE_	LAK
METABOLITE_	LAN
METABOLITE_	LAP
METABOLITE_	LAT
METABOLITE_	LAU
METABOLITE_	LAX
METABOLITE_	LB2
METABOLITE_	LBS
METABOLITE_	LBT
METABOLITE_	LC
METABOLITE_	LCA
METABOLITE_	LDC
METABOLITE_	LDO
METABOLITE_	LDP
METABOLITE_	LDY
METABOLITE_	LED
METABOLITE_	LEU
METABOLITE_	LFC
METABOLITE_	LFR
METABOLITE_	LG
METABOLITE_	LG6
METABOLITE_	LGC
METABOLITE_	LGN
METABOLITE_	LGT
METABOLITE_	LGU
METABOLITE_	LHU
METABOLITE_	LHV
METABOLITE_	LIM
METABOLITE_	LIN
METABOLITE_	LIO
METABOLITE_	LIP
METABOLITE_	LLA
METABOLITE_	LLT
METABOLITE_	LM8
METABOLITE_	LMD
METABOLITE_	LME
METABOLITE_	LML
METABOLITE_	LMN
METABOLITE_	LMR
METABOLITE_	LMT
METABOLITE_	LMU
METABOLITE_	LNL
